Timestamp,Active_workers
2021-04-14,797
2021-04-15,1528
2021-04-22,1673
2021-04-29,1646
2021-05-06,1589
2021-05-13,1821
2021-05-20,1710
2021-05-27,1680
2021-06-03,1552
2021-06-10,1469
2021-06-17,1402
2021-06-24,1182
2021-07-01,1159
2021-07-08,607
2021-07-15,589
2021-07-22,549
2021-07-29,540
2021-08-05,501
2021-08-12,434
2021-08-19,430
2021-08-26,336
2021-09-02,266
2021-09-09,376
2021-09-16,369
2021-09-23,375
2021-09-30,358
2021-10-07,326
2021-10-14,323
2021-10-21,255
2021-10-28,168
2021-11-04,192
2021-11-11,202
2021-11-18,188