Date,Period,Committed_Stake,,,
4/14/21 0:00,2676,549441217,,,
4/15/21 0:00,2677,536452325,,,
4/22/21 0:00,2678,549413362,,,
4/29/21 0:00,2679,534321428,,,
5/6/21 0:00,2680,580197808,,,
5/13/21 0:00,2681,596432863,,,
5/20/21 0:00,2682,591365160,,,
5/27/21 0:00,2683,594778231,,,
6/3/21 0:00,2684,596796944,,,
6/10/21 0:00,2685,603373343,,,
6/17/21 0:00,2686,609837953,,,
6/24/21 0:00,2687,595251292,,,
7/1/21 0:00,2688,615169946,,,
7/8/21 0:00,2689,612806227,,,
7/15/21 0:00,2690,621373767,,,
7/22/21 0:00,2691,619581937,,,
7/29/21 0:00,2692,612190006,,,
8/5/21 0:00,2693,628618658,,,
8/12/21 0:00,2694,627914645,,,
8/19/21 0:00,2695,428667537,,,
8/26/21 0:00,2696,646557584,,,
9/2/21 0:00,2697,613808199,,,
9/9/21 0:00,2698,659738204,,,
9/16/21 0:00,2699,659580648,,,
9/23/21 0:00,2700,665721261,,,
9/30/21 0:00,2701,662157393,,,
10/7/21 0:00,2702,669882516,,,
10/14/21 0:00,2703,645850932,,,
10/21/21 0:00,2704,646308012,,,
10/28/21 0:00,2705,632300113,,,
11/4/21 0:00,2706,595723685,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,